HouseType,HouseType_ID,BuilderName,Builder_ID,BrokerName,Broker_ID,SellerName,Seller_ID,CustomerName,Customer_ID,Customer_Address,Customer_CellNumber,PaymentMethod,PaymentMethod_ID,MortgageProvider,MortgageProvider_ID,SalePrice,SaleDate
Penthouse,6,Builder_1,1,Broker_18,18,Seller_433,433,Jeanne Fisher,106,"9189 Ferguson Hills
South Nathan, DE 36099",+1-783-647-2476,Google Pay,8,Chase Bank,2,394392.57,2021-09-21
Bungalow,9,Builder_13,13,Broker_11,11,Seller_461,461,Marcus Weaver,145,"12437 Garcia Cove
Barberland, MD 29143",(303)681-7605x29742,Gift Card,10,SunTrust Bank,8,955468.77,2021-07-10
Bungalow,9,Builder_20,20,Broker_30,30,Seller_614,614,Jacob Lee,83,"823 Robinson Spurs
Brooksport, SD 06360",(823)837-7957x712,Debit Card,2,Citibank,5,533023.67,2022-12-29
Studio,10,Builder_16,16,Broker_18,18,Seller_757,757,Debbie Butler,66,"49826 Sara Unions
Lake Matthew, DE 07679",376.461.0952,Gift Card,10,PNC Bank,6,675570.49,2023-06-02
Cottage,7,Builder_10,10,Broker_9,9,Seller_850,850,Michelle Clark,168,"8745 Stacy Canyon
Dawnberg, HI 30149",280.792.8624x268,Apple Pay,9,SunTrust Bank,8,770524.06,2022-09-04
Cottage,7,Builder_7,7,Broker_28,28,Seller_239,239,Spencer Baldwin,49,"69934 Adrian Vista
Smithland, MA 39889",001-352-345-4245x6464,Credit Card,1,TD Bank,7,840772.9,2020-04-30
Single Family Home,3,Builder_6,6,Broker_27,27,Seller_633,633,Nicole Clark,197,"2952 Miller Wall Suite 869
Lake Jimmy, PW 45101",+1-572-427-6179x734,Gift Card,10,Capital One,9,364811.27,2024-02-22
Cottage,7,Builder_2,2,Broker_27,27,Seller_187,187,Stacie Ellis,58,"03676 White Common
Ambermouth, WY 87189",838-619-9928x030,Cash,3,SunTrust Bank,8,647532.24,2022-12-06
Cottage,7,Builder_1,1,Broker_29,29,Seller_195,195,Patrick Combs,165,"467 Martinez Rapid
Ericland, CA 34159",489-486-4848x72413,Cryptocurrency,6,Ally Bank,10,852086.63,2021-11-01
Bungalow,9,Builder_17,17,Broker_28,28,Seller_173,173,Bryan Porter,116,"157 Bennett Cape Apt. 199
Jacquelineberg, MI 15208",333-272-1980,Apple Pay,9,Capital One,9,163988.14,2021-05-17
Studio,10,Builder_13,13,Broker_4,4,Seller_643,643,Heather Rose,174,"42742 Jennifer Street
Haileymouth, IN 69661",+1-583-300-1170x492,Apple Pay,9,Capital One,9,604293.77,2020-11-06
Villa,4,Builder_20,20,Broker_15,15,Seller_330,330,Kristina Madden,55,"629 Myers Cove Apt. 739
East Hollyside, VT 79967",+1-946-425-2392x82127,PayPal,7,Capital One,9,229256.35,2021-05-25
Mansion,8,Builder_2,2,Broker_18,18,Seller_507,507,Anna Baldwin,95,"USNV Meyer
FPO AE 19994",(997)287-1809x3478,PayPal,7,Wells Fargo,3,363920.21,2023-07-19
Penthouse,6,Builder_8,8,Broker_6,6,Seller_308,308,Heather Suarez,3,"505 Christopher Ports
West Brentchester, CA 97238",(692)748-5861x43792,Debit Card,2,Bank of America,1,338253.18,2023-07-26
Penthouse,6,Builder_18,18,Broker_2,2,Seller_740,740,Zachary Collins,85,"8025 Steven Crossroad
South Kellyville, HI 26440",001-604-387-1045x54454,Cheque,5,Bank of America,1,757254.05,2023-07-01
Apartment,1,Builder_2,2,Broker_4,4,Seller_117,117,Debbie Butler,66,"39479 Mary Green
Justinborough, GA 14624",231-643-6909,Cryptocurrency,6,Citibank,5,798845.81,2020-04-26
Apartment,1,Builder_9,9,Broker_17,17,Seller_296,296,Darren Nelson,97,"37877 Church Mission
Lake Jimtown, RI 56076",(880)568-3750,Gift Card,10,Bank of America,1,162992.82,2021-03-14
Cottage,7,Builder_5,5,Broker_6,6,Seller_748,748,Raymond Steele,16,"57117 Golden Forest
Jonathanshire, FL 95908",(326)866-4882x457,Bank Transfer,4,Citibank,5,687189.52,2020-07-05
Penthouse,6,Builder_19,19,Broker_20,20,Seller_595,595,Kristina Madden,55,"690 Patterson Common Suite 803
West Karen, UT 13457",313.578.8073x8082,PayPal,7,Bank of America,1,871511.76,2020-03-09
Apartment,1,Builder_15,15,Broker_13,13,Seller_330,330,Daniel Webb,177,"84719 Hudson Trace
East Danielchester, NH 19639",001-390-993-5869x29511,Google Pay,8,Citibank,5,499389.71,2024-07-06
Studio,10,Builder_11,11,Broker_3,3,Seller_345,345,April Wright,21,"8796 Adam Turnpike
Madisontown, PW 10702",471.209.6180x2982,Apple Pay,9,Wells Fargo,3,496449.62,2024-02-28
Bungalow,9,Builder_8,8,Broker_27,27,Seller_324,324,Michael Rivera,69,"5189 Hernandez Ways Apt. 869
Robertshire, AZ 04640",285-340-5610x306,Cheque,5,US Bank,4,230522.16,2024-02-05
Apartment,1,Builder_4,4,Broker_19,19,Seller_961,961,Michael Lindsey,192,"008 Jonathan Mall Suite 419
East Eric, PW 44982",456-383-9041,Gift Card,10,Ally Bank,10,342159.11,2021-01-08
Duplex,5,Builder_11,11,Broker_16,16,Seller_867,867,Amanda Wilson,73,"8105 Charles Square Suite 927
Romerohaven, VI 18817",440.399.7360x053,Cryptocurrency,6,Citibank,5,325288.67,2024-09-13
Villa,4,Builder_15,15,Broker_4,4,Seller_840,840,Eric Thompson,169,"7597 Kaiser Cove Suite 592
Ronaldtown, SD 01263",324-476-2537x87565,Google Pay,8,SunTrust Bank,8,297172.41,2020-12-18
Single Family Home,3,Builder_10,10,Broker_28,28,Seller_618,618,Shelley Thompson,29,"9742 Brown Grove
South Feliciatown, NE 42649",001-476-681-0416x1016,Gift Card,10,Chase Bank,2,818995.98,2021-06-01
Villa,4,Builder_11,11,Broker_3,3,Seller_413,413,Jessica Stephenson,24,"150 Diana Terrace Suite 700
Martinborough, PW 00568",001-426-467-6487x57459,Gift Card,10,Bank of America,1,239875.95,2020-04-03
Single Family Home,3,Builder_7,7,Broker_10,10,Seller_200,200,Shawn Choi,9,"6443 Williams Green Suite 943
North Courtneybury, NY 92044",544-781-4282,Cheque,5,TD Bank,7,678866.94,2024-05-10
Duplex,5,Builder_15,15,Broker_14,14,Seller_102,102,Elizabeth Rowe,142,"6804 Campbell Junction
Thomasfort, NY 86235",(213)271-2891x832,Debit Card,2,Citibank,5,391730.47,2020-09-10
Studio,10,Builder_18,18,Broker_7,7,Seller_739,739,Cindy Burton,149,"786 Powell Highway
Lake Nicholas, WI 88069",+1-851-677-7194x38417,Cash,3,Chase Bank,2,465062.12,2020-02-19
Studio,10,Builder_11,11,Broker_8,8,Seller_970,970,Zachary Collins,85,"649 Troy Point Apt. 806
Port Ryan, WA 10310",001-921-381-2243x2878,Google Pay,8,PNC Bank,6,970777.33,2020-06-10
Penthouse,6,Builder_3,3,Broker_6,6,Seller_320,320,Shelley Thompson,29,"4019 Rodriguez Trail Apt. 966
South Robert, PA 89152",+1-474-644-6234x975,Bank Transfer,4,Citibank,5,888464.07,2022-08-22
Apartment,1,Builder_16,16,Broker_25,25,Seller_126,126,Carol George,146,"209 Jackson Course Apt. 371
Lake Phillipberg, MA 60526",269.649.1029,Bank Transfer,4,PNC Bank,6,573994.7,2020-02-07
Penthouse,6,Builder_18,18,Broker_24,24,Seller_261,261,Rebecca Roberts,133,"9563 Jones Run
Welchport, PW 16452",001-400-713-1022,Google Pay,8,US Bank,4,647621.87,2023-11-26
Bungalow,9,Builder_18,18,Broker_25,25,Seller_187,187,Christopher Merritt,104,"20297 Kelly Trafficway
Chadmouth, VI 22165",(516)803-4294,Cheque,5,SunTrust Bank,8,743400.28,2024-01-28
Apartment,1,Builder_20,20,Broker_13,13,Seller_913,913,Todd Young,10,"5513 Rogers Trail
Lake Ernestville, SD 96425",(812)357-1146,Bank Transfer,4,SunTrust Bank,8,151823.34,2023-05-06
Apartment,1,Builder_5,5,Broker_3,3,Seller_425,425,Timothy Meyer,166,"3237 Newman Rapids Suite 989
North Michelle, NY 62414",+1-241-924-2384x11316,Google Pay,8,Citibank,5,450567.19,2022-01-23
Cottage,7,Builder_10,10,Broker_21,21,Seller_37,37,Debbie Butler,66,"504 Toni Fords Suite 247
South Jasmin, WA 31327",224-412-1999x463,Debit Card,2,SunTrust Bank,8,774634.41,2021-05-18
Single Family Home,3,Builder_7,7,Broker_8,8,Seller_477,477,Jonathan Moore,44,"007 Love Courts
Faulknerbury, KS 33354",+1-993-689-7680,Apple Pay,9,Wells Fargo,3,844549.18,2022-04-12
Duplex,5,Builder_7,7,Broker_27,27,Seller_498,498,Nicole Clark,197,"22781 Moore Wells Apt. 247
West Jacob, MD 99302",470.256.2080x6001,Cash,3,US Bank,4,642126.6,2020-05-30
Cottage,7,Builder_6,6,Broker_23,23,Seller_86,86,Matthew Johnson,17,"0018 Aaron Shoals
Julianside, DC 40461",601-520-0813,Credit Card,1,US Bank,4,746905.18,2021-08-30
Duplex,5,Builder_17,17,Broker_4,4,Seller_482,482,Tiffany Butler,107,"387 Adams Court Apt. 294
South Jessicastad, NJ 61543",846-646-1869x06346,Apple Pay,9,Chase Bank,2,155190.02,2021-02-21
Townhouse,2,Builder_19,19,Broker_15,15,Seller_787,787,Jonathan Simmons,36,"USNV Larson
FPO AP 43232",(663)617-6892x7800,Cryptocurrency,6,Citibank,5,335536.51,2022-09-29
Bungalow,9,Builder_20,20,Broker_18,18,Seller_185,185,Heather Suarez,3,"447 Robin Passage
Jonesborough, NV 28779",(999)449-2479x398,PayPal,7,PNC Bank,6,964096.48,2022-06-09
Villa,4,Builder_19,19,Broker_26,26,Seller_74,74,Alexandra Walker,96,"419 Carter Mews Apt. 517
North Laurenfurt, DC 38010",694.936.0461x089,Credit Card,1,TD Bank,7,390957.16,2020-06-28
Mansion,8,Builder_20,20,Broker_24,24,Seller_142,142,Cynthia Turner,109,"94411 Laura Parkways
South Mark, LA 84917",538-744-5762x3487,Cryptocurrency,6,SunTrust Bank,8,851642.63,2021-11-04
Mansion,8,Builder_3,3,Broker_22,22,Seller_640,640,Ryan Banks,135,"77418 Dunn Course
Amyborough, ME 70024",998-418-5819,Cryptocurrency,6,Wells Fargo,3,526674.74,2024-08-13
Studio,10,Builder_2,2,Broker_3,3,Seller_290,290,Nathan Wiley,167,"4636 Wells Crest Apt. 813
Port Jonathanfurt, NY 24344",001-555-576-7995x64771,Bank Transfer,4,Bank of America,1,204630.82,2023-09-08
Penthouse,6,Builder_11,11,Broker_1,1,Seller_224,224,Robin James,194,"49384 Rodriguez Rapid Suite 414
Lake Chloe, NH 65674",427.506.8348,Cryptocurrency,6,SunTrust Bank,8,295260.09,2020-01-24
Single Family Home,3,Builder_20,20,Broker_21,21,Seller_419,419,Spencer Baldwin,49,"980 Laura Extension Apt. 790
Zoeville, OH 53527",001-812-530-1795x899,Credit Card,1,Ally Bank,10,374896.39,2024-02-01
Apartment,1,Builder_16,16,Broker_2,2,Seller_997,997,Anna Baldwin,95,"935 Charles Walks
Diazstad, WA 93916",(533)682-8423x77080,Apple Pay,9,SunTrust Bank,8,178820.3,2021-09-10
Townhouse,2,Builder_13,13,Broker_7,7,Seller_538,538,Austin Harris,195,"5281 Griffith Junction
West Jessica, NY 69825",+1-983-801-4071x95048,Bank Transfer,4,Wells Fargo,3,662510.66,2022-01-17
Studio,10,Builder_9,9,Broker_21,21,Seller_474,474,Elizabeth Rowe,142,"99057 Luke Fields
Port Elizabeth, MH 53918",(738)664-8498x4554,Bank Transfer,4,SunTrust Bank,8,341765.38,2024-01-19
Townhouse,2,Builder_8,8,Broker_26,26,Seller_363,363,Frank Roach,176,"9087 Harris Mills
Lake Jonathan, AL 28355",876.841.6780,Debit Card,2,PNC Bank,6,754376.95,2020-10-11
Penthouse,6,Builder_3,3,Broker_4,4,Seller_212,212,Matthew Reed,102,"1526 Ryan Motorway Apt. 862
Shannonfurt, ME 13747",288.378.9667x9038,Debit Card,2,SunTrust Bank,8,684798.35,2023-07-09
Villa,4,Builder_15,15,Broker_2,2,Seller_528,528,Jason Williams,154,"021 Daniels Plaza Apt. 076
Karenville, CO 08745",324.219.6645x695,PayPal,7,Bank of America,1,916284.94,2023-11-20
Single Family Home,3,Builder_8,8,Broker_14,14,Seller_999,999,Jason Frank,139,"631 Miller Circles Suite 973
Katherineburgh, AZ 95083",421.452.2263x36217,Gift Card,10,Bank of America,1,829581.99,2023-02-21
Penthouse,6,Builder_19,19,Broker_1,1,Seller_299,299,Jordan Mckee,88,"561 Nancy Ferry
North Lisa, MI 68796",(791)700-7797x453,Cheque,5,Wells Fargo,3,576889.22,2024-07-02
Mansion,8,Builder_5,5,Broker_15,15,Seller_74,74,Andrea Peterson,119,"USS Cuevas
FPO AE 12536",639.662.0765x56295,Cash,3,US Bank,4,927455.89,2020-03-16
Townhouse,2,Builder_15,15,Broker_10,10,Seller_15,15,Bryan Porter,116,"135 Riley Circles Suite 624
Cynthiaville, NE 50186",001-592-638-8300,Cash,3,Ally Bank,10,994577.86,2023-05-20
Bungalow,9,Builder_12,12,Broker_28,28,Seller_603,603,Sara Navarro,98,"40850 Watts Views
Lake Kathrynbury, UT 55349",(623)213-1946x760,Gift Card,10,Wells Fargo,3,464127.47,2021-08-11
Penthouse,6,Builder_19,19,Broker_11,11,Seller_296,296,Emily Moore,171,"31794 Rice Forest Suite 765
Brianberg, MS 50833",645-550-2974x645,Gift Card,10,PNC Bank,6,957806.58,2021-05-12
Studio,10,Builder_14,14,Broker_17,17,Seller_565,565,Tiffany Butler,107,"5249 Nancy Creek
New John, VI 44911",391.517.7796x55209,PayPal,7,PNC Bank,6,681685.74,2021-02-02
Villa,4,Builder_20,20,Broker_5,5,Seller_422,422,Joshua Brown,179,"339 White Trail Apt. 030
North Kevinborough, FL 12167",(374)493-8904x7568,Google Pay,8,US Bank,4,697446.94,2024-07-13
Villa,4,Builder_10,10,Broker_30,30,Seller_599,599,Debbie Butler,66,"302 Good Lock
Rubenborough, NV 57115",(698)608-0805x5758,Credit Card,1,Ally Bank,10,974153.42,2024-03-23
Studio,10,Builder_14,14,Broker_23,23,Seller_85,85,Holly Schroeder,77,"47561 Obrien Light Apt. 188
Paulaton, VA 69288",862.838.5077x70885,Debit Card,2,Ally Bank,10,232034.28,2023-03-18
Single Family Home,3,Builder_1,1,Broker_19,19,Seller_49,49,Stacie Ellis,58,"1856 Mcknight Islands Suite 170
North Gregory, LA 68689",(809)304-4714x838,Debit Card,2,Capital One,9,763915.85,2022-05-04
Cottage,7,Builder_5,5,Broker_19,19,Seller_569,569,Louis Jones,151,"4496 Kane Shores
Wendyshire, FL 46512",+1-201-866-6358x717,Cheque,5,US Bank,4,822848.39,2023-10-24
Bungalow,9,Builder_17,17,Broker_11,11,Seller_385,385,Emily Phillips,159,"4647 Erin Trail Suite 932
Port Christopherburgh, AS 75265",4407593259,Gift Card,10,SunTrust Bank,8,697619.07,2020-07-14
Cottage,7,Builder_9,9,Broker_29,29,Seller_57,57,Heather Rose,174,"382 Leonard Track
Port Vincent, LA 59808",001-443-344-4156x919,Debit Card,2,Citibank,5,233494.71,2021-02-20
Cottage,7,Builder_18,18,Broker_23,23,Seller_168,168,John Collins,89,"319 Smith Crossing
Port Vicki, OR 98496",857-563-3768,Gift Card,10,TD Bank,7,439644.84,2021-12-05
Duplex,5,Builder_5,5,Broker_27,27,Seller_280,280,Holly Schroeder,77,"5402 Jones Radial Apt. 890
Juliabury, NM 94309",527.871.1174,Bank Transfer,4,Wells Fargo,3,816817.15,2020-03-30
Mansion,8,Builder_10,10,Broker_20,20,Seller_663,663,Brian Smith,148,"119 Jordan Park Suite 206
Mcmahonhaven, PA 05691",+1-664-379-3288x173,Gift Card,10,Wells Fargo,3,719121.45,2022-08-05
Penthouse,6,Builder_18,18,Broker_3,3,Seller_495,495,James Boyd,54,"70585 Joseph Center
Dominicport, VA 42771",370.604.5736,Gift Card,10,Wells Fargo,3,205695.72,2020-05-23
Single Family Home,3,Builder_11,11,Broker_14,14,Seller_17,17,Dr. Christian Wade,68,"23132 Cox Wall Suite 257
West Joshuatown, ID 28607",+1-951-630-2658,Google Pay,8,Chase Bank,2,457237.34,2022-09-04
Bungalow,9,Builder_15,15,Broker_5,5,Seller_262,262,Barbara Evans,19,"142 Steele Spurs Apt. 461
Robertview, AZ 02870",001-690-298-5393x1664,Credit Card,1,Citibank,5,202263.62,2022-07-15
Mansion,8,Builder_6,6,Broker_21,21,Seller_586,586,Denise Forbes,180,"18990 Conner Ports Suite 264
South Kyle, AL 04841",977-570-6786x3665,Cheque,5,PNC Bank,6,899599.08,2023-12-02
Mansion,8,Builder_16,16,Broker_14,14,Seller_292,292,Linda Dunn,15,"71601 Jonathan Square Suite 985
Arianashire, NJ 63055",+1-305-554-1236x313,Bank Transfer,4,Ally Bank,10,924636.65,2022-05-20
Bungalow,9,Builder_2,2,Broker_12,12,Seller_694,694,Melissa Kim,80,"USNV Sanchez
FPO AA 99429",001-637-863-3217x64035,Bank Transfer,4,Wells Fargo,3,239530.45,2020-12-03
Villa,4,Builder_11,11,Broker_15,15,Seller_236,236,Robin James,194,"0591 Valdez Parkway
Jonesbury, SC 86149",001-872-898-4510x206,Bank Transfer,4,US Bank,4,583121.8,2022-04-11
Apartment,1,Builder_16,16,Broker_27,27,Seller_517,517,Austin Harris,195,"14139 Webb Rest
Trevinoberg, NM 51184",001-270-658-6640x96333,Apple Pay,9,TD Bank,7,418279.12,2023-03-27
Studio,10,Builder_18,18,Broker_5,5,Seller_275,275,Nicole Clark,197,"455 Reese Road
Terryshire, NJ 38031",287.671.5445x66356,Bank Transfer,4,Ally Bank,10,227061.02,2024-08-04
Mansion,8,Builder_19,19,Broker_18,18,Seller_358,358,Denise Forbes,180,"867 Crystal Mission
Lake Steven, NV 70173",+1-666-311-9117x78407,Bank Transfer,4,Citibank,5,187308.71,2021-02-03
