SalesID,CarModel,CarModel_ID,EmployeeName,Employee_ID,Employee_Address,Employee_CellNumber,Manufacturer,Manufacturer_ID,CustomerName,Customer_ID,Customer_Address,Customer_CellNumber,PaymentMethod,PaymentMethod_ID,SalePrice,SaleDate,CarYear,CarColor,Customer_Email,WarrantyStatus
37,Mustang,7,Leslie Thomas,14,"83498 Gonzalez Mount
Rachelport, AS 96530",+1-423-933-2078x97892,Ford,2,Anna Lopez,106,"292 Carroll Landing Suite 347
Carolville, MT 56554",+1-258-785-1809x62818,Gift Card,10,28270.0,2023-04-03,2023,Silver,obonilla@example.org,Expired
38,Malibu,17,Jamie Alexander,4,"59992 Wheeler Springs
Raymondborough, DE 74237",482-429-6999x5285,Chevrolet,4,James Lewis,67,"8556 Joyce Plain
Lake Lorettaberg, DC 90784",001-739-521-1780x47650,Cryptocurrency,6,25373.63,2022-08-07,2016,Blue,celliott@example.net,Expired
39,F-150,6,Craig Anderson,13,"083 Lucero Rue Suite 025
Johnsonstad, AZ 09654",281-621-9196x407,Ford,2,Amy Baker,15,"397 Lambert Turnpike
Christinaland, KY 05411",(545)630-1220x604,Gift Card,10,24633.9,2024-02-23,2016,Black,sturner@example.org,Active
40,GLC,34,John Smith,7,"7746 Alejandro Island
Lisamouth, PR 45285",8336284353,Mercedes-Benz,7,Linda Jensen,118,"7414 Michelle Corners Suite 651
New Kennethton, TX 49628",751.260.6480,Cryptocurrency,6,96977.58,2023-04-21,2018,Green,nealsabrina@example.org,Expired
41,Explorer,8,Shawn Ruiz,8,"418 Gordon Extensions Suite 624
South Bradleyville, GU 40599",001-263-717-2729x913,Ford,2,Stephanie Williamson,24,"523 Martinez Grove
East Jeffrey, AK 01181",877-493-1492x972,Cash,3,34721.62,2022-01-11,2021,Red,nathan27@example.net,Active
42,Golf,45,Lori Cooper,12,"USNV Russell
FPO AA 48038",433.500.6014x8253,Volkswagen,10,Melissa Griffith,2,"210 Garcia Lodge
Courtneychester, PA 56127",612.970.0750,Cash,3,80467.87,2024-01-12,2020,Green,kimpatrick@example.com,Expired
43,Golf,45,Craig Anderson,13,"USNV Reid
FPO AA 28812",(865)689-8980x48693,Volkswagen,10,Brittney Daniel,48,"6818 Howell Stravenue Apt. 509
Higginston, KS 14765",903.409.7810x044,Credit Card,1,25872.11,2022-05-31,2019,White,william33@example.com,Active
44,Model Y,44,John Smith,7,"316 Mary Via Suite 664
East Ronaldstad, MN 71238",001-931-645-1486,Tesla,9,James Orozco,116,"2623 Hale Alley Apt. 203
Lisaton, FL 05988",570.749.8532x0527,Bank Transfer,4,33980.28,2020-08-13,2018,Red,paul80@example.com,Expired
45,3 Series,26,Danielle Smith,3,"474 Miller Groves
Lake Erin, KY 22875",001-869-597-4465,BMW,6,Melissa Griffith,2,"538 Delgado Wells Suite 735
Paulberg, CO 50443",400-517-0523x043,Cash,3,38494.22,2022-02-22,2019,White,lisa12@example.net,Active
46,5 Series,27,Leslie Thomas,14,"420 Henderson Glen Apt. 263
Brownmouth, KY 51136",(998)895-8022x6079,BMW,6,Scott Dean,133,"168 Smith Tunnel
South Edwardhaven, AL 14359",579-332-8982,Bank Transfer,4,89706.3,2022-03-10,2018,Blue,jeffery97@example.com,Active
47,X5,28,Alan Smith,9,"5608 Christian Ports Suite 464
East Nicholas, GU 19950",(531)735-0745,BMW,6,Jennifer Moore,147,"953 Anderson Views Apt. 978
Lake Christinashire, MP 28490",885.742.7875x394,Credit Card,1,41416.47,2022-02-04,2023,Green,stevenburns@example.org,Expired
48,Pilot,14,John Smith,7,"6722 Jennifer Port
Petersonshire, HI 70432",440-576-6579x53540,Honda,3,Mason Vaughn,37,"745 Angela Pass
Francoport, KS 65399",(548)689-9847x1483,Credit Card,1,80213.34,2021-05-26,2018,Yellow,hbradley@example.org,Active
49,Highlander,4,Sean Cummings,11,"PSC 4621, Box 4341
APO AA 96166",2152444553,Toyota,1,Michelle Holder,39,"Unit 6014 Box 7484
DPO AP 96239",001-806-519-1988x928,Google Pay,8,85788.72,2021-12-02,2016,Blue,xpearson@example.net,Active
50,Model X,43,Amy Walter,5,"764 Edwin Knoll Apt. 133
Lake Daniel, KS 92816",763-293-5179,Tesla,9,Ernest Pruitt,7,"2213 Kristin Spurs Suite 772
North David, VA 36752",+1-946-221-2558,Google Pay,8,99413.5,2024-03-15,2017,Red,crystal14@example.net,Expired
51,Malibu,17,Danielle Smith,3,"91212 Mary Crossroad Apt. 384
North Mary, WA 73430",587-519-7189,Chevrolet,4,Wesley Kelley,51,"838 Trevor Road
Martinezport, UT 51929",6217696612,PayPal,7,59463.6,2023-08-03,2020,Red,samanthalang@example.com,Active
52,Escape,9,Alan Smith,9,"100 Jeffery Corners Apt. 295
Patriciaside, KS 87706",+1-234-844-9475x54916,Ford,2,Chase Smith,74,"77280 Lee Neck Suite 317
Nancyside, IN 92444",+1-507-510-8827x3422,Apple Pay,9,86753.73,2021-09-25,2022,White,osbornejustin@example.net,Expired
53,Escape,9,Amy Walter,5,"25646 Kaitlyn Greens Suite 232
Pamelamouth, GU 93315",523-941-5992,Ford,2,Jerome Miller,6,"024 Dorothy Rest
New Edwardland, PR 04415",426.431.2308,PayPal,7,25147.77,2022-08-22,2015,Red,fbrooks@example.com,Expired
54,GLC,34,Cheryl Harrison,2,"4382 Wilson Centers
Torresberg, NV 28550",(779)363-9536x0221,Mercedes-Benz,7,Alicia Ward,18,"093 Logan Station
Tonyport, WI 50250",506.681.3981x033,Cryptocurrency,6,79318.98,2021-12-28,2023,Green,browngabrielle@example.com,Active
55,A3,36,Leslie Thomas,14,"88131 Hayden Spurs
Lake Karl, KS 58852",(968)738-9781,Audi,8,Joy Ramirez,43,"526 Jimmy Well
Rickbury, ND 15454",667-813-2808,Apple Pay,9,92411.05,2021-09-15,2022,Yellow,matthew00@example.org,Expired
56,Camry,2,Leslie Thomas,14,"97547 Eric Trail Suite 045
South Brianville, FM 49525",(397)510-9984,Toyota,1,Alan Ramirez,104,"PSC 0134, Box 6867
APO AA 79132",946-529-3436x97233,Credit Card,1,51238.12,2021-11-29,2018,Blue,wendyharris@example.com,Active
57,Prius,3,Sean Cummings,11,"91662 Davenport Village Suite 114
Port Adamland, MT 88775",+1-609-220-7682x18664,Toyota,1,Dr. Wendy Arias MD,137,"5035 Julie Roads Apt. 504
New Joshuamouth, RI 32576",227-709-1995x756,Cryptocurrency,6,64646.27,2022-01-06,2022,Black,jkerr@example.net,Expired
58,Impala,19,John Smith,7,"28577 Marcus Rapids
North Andrewview, VA 48563",941.344.6957x41636,Chevrolet,4,Stacy Harvey,73,"53549 Morris Square Apt. 339
Port Kimberly, SC 25046",2859622713,Bank Transfer,4,23849.16,2024-05-12,2015,Red,andrewlane@example.net,Active
59,GLA,33,Alan Smith,9,"35119 Gibson Walks
East Brittany, NJ 24573",+1-907-981-5192,Mercedes-Benz,7,Denise Schmidt,112,"6021 Mark Roads
Reedhaven, ID 65947",824-482-8404,Gift Card,10,70625.65,2023-02-27,2019,Silver,rbennett@example.org,Expired
60,GLA,33,Brianna Ross,10,"6154 Roberta Mountain
Lake Kerrishire, KY 57161",5676273937,Mercedes-Benz,7,Jerome Miller,6,"1616 Ashley Views
New Nancyview, IN 49193",(460)568-1769,Debit Card,2,48990.26,2021-10-06,2023,Yellow,robin10@example.com,Active
61,Pilot,14,Sean Cummings,11,"4129 Cruz Spurs
Dominiqueland, LA 23657",771.971.2742,Honda,3,Anna Lopez,106,"97913 Williams Plains Apt. 465
Lake Susanhaven, MN 77444",345.857.0132x737,Google Pay,8,46935.24,2023-01-09,2016,Green,daniel88@example.com,Expired
62,C-Class,31,Stephen Bradley,1,"68138 Hill Gateway Apt. 511
East Daniel, UT 20529",(386)361-7113x362,Mercedes-Benz,7,Katherine Ortega,47,"USCGC Perez
FPO AP 14378",001-905-613-9169x2657,PayPal,7,33926.42,2023-05-30,2018,Blue,raymondamanda@example.net,Active
63,Civic,11,Lori Cooper,12,"354 Bennett Cliffs
New Lisa, MS 63296",+1-415-900-4076,Honda,3,Sherry Edwards,54,"769 Fuller Mountains
New William, LA 79511",544-239-6523,Cash,3,52240.91,2024-04-30,2015,Green,dianawhite@example.com,Expired
64,Model Y,44,Brianna Ross,10,"696 Jeremy Parkway Apt. 113
Hartmanburgh, MO 63684",(463)779-1642x511,Tesla,9,Denise Schmidt,112,"PSC 2536, Box 8169
APO AE 42961",(672)286-1719x6754,Debit Card,2,74715.65,2023-08-20,2022,White,amberroberts@example.com,Active
65,Q5,39,Danielle Smith,3,"48844 Lewis Cove Suite 108
Lake Danielle, IL 91090",(366)980-9875,Audi,8,Tracey Reed,13,"271 Hebert Harbors Suite 751
Macdonaldport, PW 16232",(705)558-4888,Debit Card,2,60864.12,2023-12-25,2024,Blue,judy69@example.org,Active
66,A4,37,Brianna Ross,10,"47371 Michael Motorway
New Angela, OK 13159",001-459-739-0092x7069,Audi,8,Melissa Griffith,2,"424 Joseph Road Apt. 696
Port Lisaview, MI 33535",9325431003,Credit Card,1,71920.88,2020-08-08,2021,Silver,chelsea10@example.org,Expired
67,Q5,39,Alan Smith,9,"2228 Anderson Prairie
North Coreyville, WA 29050",954-809-4456,Audi,8,Paul Johnson,99,"2930 Gordon Road Suite 676
East Caitlynview, KY 13404",+1-346-752-0904x996,PayPal,7,89495.35,2024-03-15,2021,Blue,kellie57@example.org,Active
68,Jetta,46,Lori Cooper,12,"Unit 0827 Box 1129
DPO AP 76703",804-650-2291,Volkswagen,10,Scott Dean,133,"63909 Garrison Mews
Olivialand, RI 61848",(456)290-4043,Cheque,5,99244.92,2023-11-10,2024,Black,meredith78@example.com,Expired
69,Highlander,4,Alan Smith,9,"5162 Rebecca Plain Apt. 460
West Troyside, MT 57703",001-733-481-8891x5595,Toyota,1,Beth Hicks,41,"USNS Riddle
FPO AE 76553",(285)576-6761x668,Google Pay,8,90680.23,2020-03-26,2015,Black,christopher64@example.org,Active
70,C-Class,31,Lori Cooper,12,"4032 Jeffrey Rest
Torresmouth, NE 11203",001-819-942-4253x5421,Mercedes-Benz,7,Natalie Torres,125,"49415 Harrison Harbor Apt. 648
Janicefort, CA 69038",210-461-0619x90689,Cheque,5,50660.1,2022-11-11,2020,Green,dmccarthy@example.com,Active
71,M3,30,Lori Cooper,12,"3481 Mason Fort Apt. 157
Garciamouth, WA 92407",728.425.6776x070,BMW,6,Michael Henry,123,"8574 Valerie Pike Apt. 282
Fosterchester, CO 70358",916-568-9175x9947,Cryptocurrency,6,70383.25,2022-01-15,2015,Yellow,jamesortiz@example.com,Expired
72,Silverado,16,Leslie Thomas,14,"69305 Taylor Streets Apt. 939
Rothfurt, MD 82521",+1-386-624-3180,Chevrolet,4,Shannon Wright,110,"7069 Peter Canyon Suite 753
East Madelinetown, OR 89076",977.465.3651,Gift Card,10,72531.34,2023-01-28,2021,Yellow,kinganthony@example.com,Expired
73,A4,37,Brianna Ross,10,"207 Murphy Parkway Suite 124
Williamsport, RI 66311",(745)552-1967x1984,Audi,8,Michael Henry,123,"702 Eaton Ferry Apt. 200
Connerberg, PR 50625",(264)291-9789x05045,Cheque,5,61777.84,2021-03-29,2024,Red,jessica34@example.com,Expired
74,Malibu,17,April Lopez,6,"1251 Crawford Shoals Apt. 913
Bruceburgh, OH 14842",789-843-7607x487,Chevrolet,4,Beth Garrett,4,"PSC 4973, Box 9148
APO AE 38354",001-858-841-8038x58799,Cheque,5,55772.52,2024-08-01,2024,White,jacobjones@example.com,Expired
75,Pilot,14,Stephen Bradley,1,"9402 Matthew Extensions
New Ginaberg, WY 88892",+1-946-217-5277x4316,Honda,3,Amy Baker,15,"8392 Stone Inlet
Chanburgh, PW 02483",3779378550,Gift Card,10,99202.0,2023-03-14,2017,Red,jeremymaxwell@example.com,Expired
76,Model 3,42,Lori Cooper,12,"601 Cordova Corner Suite 326
North Anneton, NV 10714",001-899-388-6873x6027,Tesla,9,Jennifer Marshall,102,"891 Joe Shoals
New Kathleen, GA 48224",220-715-5842,Google Pay,8,21959.5,2024-06-22,2022,Yellow,tmills@example.net,Expired
77,Pilot,14,Stephen Bradley,1,"874 Lee Street Suite 792
Martinezburgh, DE 79037",7823565998,Honda,3,Natalie Torres,125,"488 Laurie Highway Suite 244
New Christopher, CT 60735",777-436-1844,Cryptocurrency,6,44026.75,2023-05-01,2019,Blue,mary59@example.com,Active
78,Jetta,46,Shawn Ruiz,8,"63471 Joseph Walks
Josephchester, IA 15806",450.927.3795,Volkswagen,10,Laura Lawson,35,"362 Nixon Gardens
Charlotteberg, FM 16033",(338)781-9819,Apple Pay,9,36766.34,2022-01-18,2024,Black,aaron63@example.net,Active
79,S-Class,35,Danielle Smith,3,"3204 Lisa Spurs Suite 911
Scottstad, VT 47970",8989581148,Mercedes-Benz,7,James Fowler,131,"68942 Martin Bypass
Dunlapchester, MI 67442",+1-827-529-9877x32518,Cheque,5,45352.67,2020-03-07,2020,Yellow,awatts@example.org,Active
80,RAV4,5,Lori Cooper,12,"21389 Lauren Fall Apt. 312
Donnashire, SD 55960",+1-496-411-7027,Toyota,1,Laura Lawson,35,"8642 Schultz Course
Kaiserborough, LA 08750",210-790-6508,Apple Pay,9,56779.44,2022-12-15,2023,Red,alison00@example.net,Active
81,E-Class,32,April Lopez,6,"330 Roger Walks
Gibsonhaven, KS 58826",(419)649-7877,Mercedes-Benz,7,Brandon Lee,38,"2117 John Square Apt. 985
Buckleyton, NM 66657",(835)270-3071,Bank Transfer,4,21210.7,2021-11-17,2024,Black,hilladam@example.com,Expired
82,Prius,3,Jamie Alexander,4,"864 Rodriguez Courts Apt. 330
Angelamouth, WA 37286",+1-316-446-8617,Toyota,1,Phillip Fowler,10,"102 Castillo Union Suite 463
New Austinborough, ND 49263",(917)525-6571x674,PayPal,7,62418.19,2020-11-10,2021,Yellow,qcurtis@example.org,Active
83,Odyssey,15,John Pham,15,"899 Sara Valleys
Teresafort, CO 46624",963.829.1523,Honda,3,Emily Gonzales,126,"71982 Flores Extension
Taylortown, LA 31364",(642)357-1348,Gift Card,10,99299.47,2022-02-28,2017,Silver,jasonbell@example.org,Expired
84,Accord,12,John Smith,7,"3589 Matthew Heights
Jenniferport, NH 60948",(920)533-6378,Honda,3,Jerome Miller,6,"34556 Russell Stream Apt. 737
Paulastad, CO 04269",001-390-229-0655x3369,PayPal,7,25125.1,2020-10-25,2019,White,brandon09@example.com,Active
85,E-Class,32,Danielle Smith,3,"58173 Jason Ways Apt. 164
Lake Jamesside, WI 22601",916-204-0635x82952,Mercedes-Benz,7,Rachel King,28,"27418 Lee Mountain Apt. 984
Loristad, MN 79303",5985243933,Cash,3,61699.1,2023-10-02,2019,Black,wdavila@example.com,Expired
86,Model Y,44,Brianna Ross,10,"75896 Misty Common
Jacksonburgh, HI 08841",670.355.6187,Tesla,9,Dennis Wilson,26,"1297 Kristopher Underpass Suite 481
East Chrishaven, PR 50624",9854291721,Cryptocurrency,6,86304.25,2024-06-22,2020,Silver,greendaniel@example.org,Active
87,F-150,6,Danielle Smith,3,"0968 Price Hollow
East Whitney, FM 63368",783-283-0048x718,Ford,2,William Castaneda,90,"469 Katie Passage Suite 870
Montgomeryville, SC 81580",202.428.8516x8307,Bank Transfer,4,96630.82,2021-12-13,2024,Blue,timothy22@example.net,Active
88,X3,29,Cheryl Harrison,2,"6562 Blake Haven Apt. 841
Mcmahonbury, SD 46149",859.958.5943,BMW,6,Alicia Ward,18,"017 Cheryl Trace Apt. 787
Meganhaven, VI 11030",227.742.8792x07483,Bank Transfer,4,60867.39,2022-02-09,2022,Black,davenportbarry@example.net,Active
89,X3,29,John Pham,15,"94831 Benjamin Ville
Bethton, ND 56978",001-726-207-5180x583,BMW,6,Brian Henderson,109,"7556 Jennifer Haven
North Veronica, MI 84072",833-407-7881,Google Pay,8,60077.37,2023-04-16,2022,White,watsonryan@example.org,Expired
90,GLC,34,Leslie Thomas,14,"08233 Douglas Street Suite 018
North Briantown, VI 89807",438.977.9741x080,Mercedes-Benz,7,Beth Garrett,4,"23363 Mack Walk Suite 037
Port Brettton, HI 89967",893.378.4228,Debit Card,2,42644.44,2024-02-14,2016,Green,annacarr@example.net,Expired
91,Jetta,46,Craig Anderson,13,"02787 John View
Courtneychester, IA 39092",471.533.7455,Volkswagen,10,Patricia Snyder,97,"850 Renee Crossroad
Keithland, DC 68737",359.844.4634,Google Pay,8,27752.74,2020-09-20,2022,Black,bryan70@example.org,Expired
92,RAV4,5,Stephen Bradley,1,"052 Alicia Locks Apt. 343
Donaldburgh, NH 46139",202-869-1557,Toyota,1,Darius Faulkner,88,"Unit 0983 Box 3497
DPO AA 92396",001-207-726-6916x681,PayPal,7,34208.35,2020-06-23,2019,Red,davidwright@example.net,Active
